extractor,detector,auc_roc,auc_pr
raw-cnn,knn,0.770953932508083,0.4410139932600578
raw-cnn,mahalanobis,0.8144803914353325,0.4797291858673375
raw-cnn,ocsvm,0.6199013160945072,0.37318217430660716
yatc,knn,0.8384472065170224,0.6547406741683738
yatc,mahalanobis,0.7397871846987429,0.39587691458625
yatc,ocsvm,0.6774387165492287,0.3301484992050721
etbert,knn,0.7709248242797093,0.4156164938697103
etbert,mahalanobis,0.5058341981741563,0.22858270707659994
etbert,ocsvm,0.5710986006292715,0.2650101782927635
netfound,knn,0.859332891877384,0.5937239625686903
netfound,mahalanobis,0.7815588946762068,0.5403224723967189
netfound,ocsvm,0.6761534536946892,0.4931417075461386
nfstream-common,knn,0.8021862021026591,0.4653749630684918
nfstream-common,mahalanobis,0.7581964654785232,0.3652806416466885
nfstream-common,ocsvm,0.2972169616066765,0.18172475463677845
nfstream-native,knn,0.8084127054634945,0.442312752140316
nfstream-native,mahalanobis,0.7326277705345208,0.3421442910450875
nfstream-native,ocsvm,0.1322065312712615,0.14855942986576248
